pool,card_id,name,card_class,set,type,cost,attack,health_or_durability,races,mechanics,text,status
dragon,CORE_LOOT_137,Sleepy Dragon,NEUTRAL,CORE,MINION,9,6,12,DRAGON,TAUNT,<b>Taunt</b>,generated_supported
dragon,CORE_NEW1_023,Faerie Dragon,NEUTRAL,CORE,MINION,2,3,2,DRAGON,ELUSIVE,<b>Elusive</b>,generated_supported
dragon,CORE_UNG_848,Primordial Drake,NEUTRAL,CORE,MINION,8,4,8,DRAGON,"BATTLECRY,TAUNT",[x]<b>Taunt</b> <b>Battlecry:</b> Deal 2 damage to all other minions.,generated_supported
dragon,CORE_YOP_034,Runaway Blackwing,NEUTRAL,CORE,MINION,10,10,10,DRAGON,TRIGGER_VISUAL,"[x]At the end of your turn, deal 10 damage to a random enemy minion.",generated_supported
dragon,CS3_035,Nozdormu the Eternal,NEUTRAL,CORE,MINION,7,8,8,DRAGON,START_OF_GAME_KEYWORD,"[x]<b>Start of Game:</b> If this is in BOTH players' decks, turns  are only 15 seconds long.",generated_supported
dragon,DINO_401,The Great Dracorex,WARRIOR,THE_LOST_CITY,MINION,8,5,12,"BEAST,DRAGON","RUSH,TRIGGER_VISUAL","[x]<b>Rush</b> After this attacks an enemy minion, it damages ALL other enemy minions.",generated_supported
dragon,EDR_000,"Ysera, Emerald Aspect",NEUTRAL,EMERALD_DREAM,MINION,9,4,12,DRAGON,"BATTLECRY,START_OF_GAME_KEYWORD",[x]<b>Start of Game:</b> Increase both players'maximum Mana by 5. <b>Battlecry:</b> Gain 3 Mana Crystals.,generated_supported
dragon,EDR_260,Illusory Greenwing,NEUTRAL,EMERALD_DREAM,MINION,4,4,5,DRAGON,"DEATHRATTLE,TAUNT",[x]<b>Taunt</b>. <b>Deathrattle:</b> Shuffle two 4/5 Dragons with <b>Taunt</b> into your deck. They're    <b>Summoned When Drawn</b>.,generated_supported
dragon,EDR_453,Briarspawn Drake,NEUTRAL,EMERALD_DREAM,MINION,10,12,7,DRAGON,TRIGGER_VISUAL,"[x]At the end of your turn, attack a random enemy minion <i>(excess damage hits the enemy hero)</i>.",generated_supported
dragon,EDR_459,Afflicted Devastator,WARRIOR,EMERALD_DREAM,MINION,4,6,6,DRAGON,"BATTLECRY,DEATHRATTLE",[x]<b>Battlecry:</b> Deal 3 damage to all other friendly minions. <b>Deathrattle:</b> Deal 3 damage to all enemy minions.,generated_supported
dragon,EDR_465,Ysondre,WARRIOR,EMERALD_DREAM,MINION,7,8,5,DRAGON,"DEATHRATTLE,TAUNT",[x]<b>Taunt</b>. <b>Deathrattle:</b> Summon a random Dragon for each time Ysondre has died this game.,generated_supported
dragon,EDR_571,Fae Trickster,NEUTRAL,EMERALD_DREAM,MINION,3,2,4,DRAGON,DEATHRATTLE,<b>Deathrattle:</b> Draw a spell that costs (5) or more.,generated_supported
dragon,EDR_572,Tormented Dreadwing,NEUTRAL,EMERALD_DREAM,MINION,5,5,5,DRAGON,DEATHRATTLE,<b>Deathrattle:</b> Draw 2 Dragons. Reduce their Costs by (1).,generated_supported
dragon,EDR_889,Petal Peddler,NEUTRAL,EMERALD_DREAM,MINION,2,1,4,DRAGON,TRIGGER_VISUAL,"[x]At the end of your turn, give another random  friendly Dragon +1/+1.",generated_supported
dragon,END_021,Dimensional Weaponsmith,WARRIOR,TIME_TRAVEL,MINION,3,2,5,DRAGON,BATTLECRY,<b>Battlecry:</b> Give all minions and weapons in your hand +2 Attack.,generated_supported
dragon,END_022,Time-Twisted Seer,"MAGE,WARRIOR",TIME_TRAVEL,MINION,1,1,3,DRAGON,,Has <b>Spell Damage +2</b> while damaged.,generated_supported
dragon,END_033,Prescient Slitherdrake,NEUTRAL,TIME_TRAVEL,MINION,7,5,8,DRAGON,ELUSIVE,[x]<b>Elusive</b> Costs (3) less if you're  holding another Dragon.,direct_supported
dragon,END_034,Crumblecrusher,NEUTRAL,TIME_TRAVEL,MINION,8,8,6,DRAGON,BATTLECRY,"[x]<b>Battlecry:</b> Destroy a random enemy minion, location, and weapon.",generated_supported
dragon,END_035,Omen of the End,NEUTRAL,TIME_TRAVEL,MINION,5,5,5,DRAGON,BATTLECRY,"[x]<b>Battlecry:</b> If your deck is empty, destroy the top 5  cards of the enemy deck.",generated_supported
dragon,FIR_956,Dragon Turtle,WARRIOR,EMERALD_DREAM,MINION,4,3,6,"BEAST,DRAGON",BATTLECRY,"[x]<b>Battlecry:</b> If you're holding a minion with a <b>Dark Gift</b>, give your hero +3 Attack this turn and 6 Armor.",generated_supported
dragon,FIR_959,Fyrakk the Blazing,NEUTRAL,EMERALD_DREAM,MINION,10,7,7,DRAGON,BATTLECRY,[x]<b>Immune</b> to Fire spells. <b>Battlecry:</b> Cast 15 Mana worth of Fire spells at random enemies.,needs_rule
dragon,TIME_003,Portal Vanguard,NEUTRAL,TIME_TRAVEL,MINION,3,2,2,DRAGON,BATTLECRY,[x]<b>Rewind</b> <b>Battlecry:</b> Draw a random minion. Give it +2/+2.,generated_supported
dragon,TIME_004,Conflux Crasher,NEUTRAL,TIME_TRAVEL,MINION,7,7,7,DRAGON,BATTLECRY,<b>Rewind</b> <b>Battlecry:</b> Deal 7 damage to a random enemy.,generated_supported
dragon,TIME_024,"Murozond, Unbounded",NEUTRAL,TIME_TRAVEL,MINION,9,8,8,DRAGON,BATTLECRY,"<b>Battlecry:</b> At the start of your next turn, set this minion's Attack to INFINITY!",generated_supported
dragon,TIME_034,Stadium Announcer,WARRIOR,TIME_TRAVEL,MINION,4,3,3,DRAGON,BATTLECRY,[x]<b>Rewind</b> <b>Battlecry:</b> Both players equip a random weapon. Give yours +1/+1.,direct_supported
dragon,TIME_045,Whelp of the Infinite,NEUTRAL,TIME_TRAVEL,MINION,3,1,4,DRAGON,"POISONOUS,REBORN",<b>Poisonous</b> <b>Reborn</b>,generated_supported
dragon,TIME_051,Soldier of the Infinite,NEUTRAL,TIME_TRAVEL,MINION,5,3,5,DRAGON,"BATTLECRY,RUSH",<b>Rush</b> <b>Battlecry:</b> Double this minion's Attack.,generated_supported
dragon,TIME_052,Amber Warden,NEUTRAL,TIME_TRAVEL,MINION,8,4,12,DRAGON,"DEATHRATTLE,TAUNT",[x]<b>Taunt</b> <b>Deathrattle:</b> Summon a random minion from the past.,needs_rule
dragon,TIME_056,Whelp of the Bronze,NEUTRAL,TIME_TRAVEL,MINION,3,4,1,DRAGON,"DIVINE_SHIELD,LIFESTEAL",<b>Lifesteal</b> <b>Divine Shield</b>,generated_supported
dragon,TIME_063,Timelord Nozdormu,NEUTRAL,TIME_TRAVEL,MINION,3,8,8,DRAGON,RUSH,"[x]<b>Dormant</b> for 5 turns. <b>Rush</b>. After you play a card from the newest expansion,  awaken 1 turn sooner.",generated_supported
dragon,TIME_714,Chrono-Lord Epoch,WARRIOR,TIME_TRAVEL,MINION,6,7,5,DRAGON,BATTLECRY,<b>Battlecry:</b> Destroy all minions that your opponent played last turn.,generated_supported
dragon,TIME_720,Soldier of the Bronze,NEUTRAL,TIME_TRAVEL,MINION,5,5,3,DRAGON,"BATTLECRY,TAUNT",<b>Taunt</b> <b>Battlecry:</b> Double this minion's Health.,generated_supported
dragon,TIME_871,Heir of Hereafter,WARRIOR,TIME_TRAVEL,MINION,5,2,6,DRAGON,"BATTLECRY,TAUNT",[x]<b>Taunt</b> <b>Battlecry:</b> Gain +2/+2 for each damaged minion.,generated_supported
dragon,TLC_243,Whirling Stormdrake,NEUTRAL,THE_LOST_CITY,MINION,9,8,8,"DRAGON,ELEMENTAL","RUSH,WINDFURY","<b>Rush</b>, <b>Windfury</b> <b>Kindred:</b> Gain <b>Immune</b> this turn.",generated_supported
dragon,TLC_600,Windpeak Wyrm,WARRIOR,THE_LOST_CITY,MINION,8,6,6,DRAGON,BATTLECRY,[x]<b>Battlecry:</b> Deal 5 damage and gain 5 Armor. <b>Kindred:</b> Costs (3) less.,direct_supported
dragon,TLC_888,Cloud Serpent,NEUTRAL,THE_LOST_CITY,MINION,3,3,3,"DRAGON,ELEMENTAL",BATTLECRY,[x]<b>Battlecry:</b> Get a copy of another Elemental or Dragon in your hand.,generated_supported
warrior_minion,CAP_104,Blastpowder Engineer,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,2,2,3,PIRATE,AURA,"[x]On your turn, friendly Pirates deal 1 more damage.",generated_supported
warrior_minion,CAP_106,Captain Crowley,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,5,4,5,PIRATE,"AURA,BATTLECRY",[x]Your Cannoneers fire an additional shot. <b>Battlecry</b>: Summon  two 1/1 Cannoneers.,generated_supported
warrior_minion,CAP_107,Cannonmaster,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,1,3,1,"DRAENEI,PIRATE",BATTLECRY,[x]<b>Battlecry:</b> Get a 1/1 Cannoneer that deals 1 damage to a random enemy at end of turn.,direct_supported
warrior_minion,CATA_586,Destructive Blaze,WARRIOR,CATACLYSM,MINION,5,3,3,ELEMENTAL,"DEATHRATTLE,TRIGGER_VISUAL","[x]After this survives damage, summon a Destructive Blaze. <b>Deathrattle:</b> Deal 2 damage to a random enemy.",generated_supported
warrior_minion,CATA_591,Commander Geddon,WARRIOR,CATACLYSM,MINION,7,7,7,ELEMENTAL,BATTLECRY,"[x]<b>Battlecry:</b> Instead of drawing each turn, <b>Discover</b> a card from your deck. It costs (3)   less. Destroy the others.",generated_supported
warrior_minion,CORE_BT_120,Warmaul Challenger,WARRIOR,CORE,MINION,3,1,10,,BATTLECRY,<b>Battlecry:</b> Choose an enemy minion. Battle it to the death!,generated_supported
warrior_minion,CORE_DRG_024,Sky Raider,WARRIOR,CORE,MINION,1,1,2,PIRATE,BATTLECRY,<b>Battlecry:</b> Add a random Pirate to your hand.,generated_supported
warrior_minion,CORE_EX1_414,Grommash Hellscream,WARRIOR,CORE,MINION,8,4,9,,"CHARGE,ENRAGED",<b>Charge</b> Has +6 Attack while damaged.,generated_supported
warrior_minion,CORE_EX1_604,Frothing Berserker,WARRIOR,CORE,MINION,3,2,4,,TRIGGER_VISUAL,"Whenever a minion takes damage, gain +1 Attack.",generated_supported
warrior_minion,CORE_NX2_028,Hookfist-3000,WARRIOR,CORE,MINION,3,4,3,"MECHANICAL,PIRATE",TRIGGER_VISUAL,"After your hero attacks, gain 4 Armor and draw a card.",generated_supported
warrior_minion,CORE_OG_149,Ravaging Ghoul,WARRIOR,CORE,MINION,3,3,3,UNDEAD,BATTLECRY,<b>Battlecry:</b> Deal 1 damage to all other minions.,generated_supported
warrior_minion,CORE_OG_218,Bloodhoof Brave,WARRIOR,CORE,MINION,4,2,6,,"ENRAGED,TAUNT",<b>Taunt</b> Has +3 Attack while damaged.,generated_supported
warrior_minion,CORE_WW_329,Detonation Juggernaut,WARRIOR,CORE,MINION,4,3,4,MECHANICAL,"BATTLECRY,TAUNT",<b>Taunt</b>. <b>Battlecry:</b> Give <b>Taunt</b> minions in your hand +2/+2.,generated_supported
warrior_minion,DINO_400,Barricade Basher,WARRIOR,THE_LOST_CITY,MINION,3,4,3,BEAST,TRIGGER_VISUAL,"[x]Whenever you gain Armor,  gain +2/+2 and attack a random enemy minion.",generated_supported
warrior_minion,DINO_401,The Great Dracorex,WARRIOR,THE_LOST_CITY,MINION,8,5,12,"BEAST,DRAGON","RUSH,TRIGGER_VISUAL","[x]<b>Rush</b> After this attacks an enemy minion, it damages ALL other enemy minions.",generated_supported
warrior_minion,EDR_456,Darkrider,WARRIOR,EMERALD_DREAM,MINION,1,1,1,DEMON,"BATTLECRY,DISCOVER","<b>Battlecry:</b> If you're holding a Dragon, <b>Discover</b> a Dragon with a <b>Dark Gift</b>.",direct_supported
warrior_minion,EDR_457,Brood Keeper,WARRIOR,EMERALD_DREAM,MINION,2,2,3,,BATTLECRY,"<b>Battlecry:</b> If you're holding a Dragon, equip a 2/2 Sword.",direct_supported
warrior_minion,EDR_459,Afflicted Devastator,WARRIOR,EMERALD_DREAM,MINION,4,6,6,DRAGON,"BATTLECRY,DEATHRATTLE",[x]<b>Battlecry:</b> Deal 3 damage to all other friendly minions. <b>Deathrattle:</b> Deal 3 damage to all enemy minions.,generated_supported
warrior_minion,EDR_465,Ysondre,WARRIOR,EMERALD_DREAM,MINION,7,8,5,DRAGON,"DEATHRATTLE,TAUNT",[x]<b>Taunt</b>. <b>Deathrattle:</b> Summon a random Dragon for each time Ysondre has died this game.,generated_supported
warrior_minion,EDR_468,Eggbasher,WARRIOR,EMERALD_DREAM,MINION,4,3,5,,BATTLECRY,<b>Battlecry:</b> Deal 1 damage to a minion and give it +4 Attack.,generated_supported
warrior_minion,EDR_471,Tortolla,WARRIOR,EMERALD_DREAM,MINION,10,1,30,BEAST,"ELUSIVE,TAUNT,TRIGGER_VISUAL","[x]<b>Taunt</b>, <b>Elusive</b> After this takes damage, gain 1 Armor and give this minion +1 Attack.",generated_supported
warrior_minion,END_019,Endtime Survivor,"WARLOCK,WARRIOR",TIME_TRAVEL,MINION,5,5,6,,"BATTLECRY,TAUNT","<b>Taunt</b>. <b>Battlecry:</b> If your hero took damage this turn, gain +3/+3.",generated_supported
warrior_minion,END_021,Dimensional Weaponsmith,WARRIOR,TIME_TRAVEL,MINION,3,2,5,DRAGON,BATTLECRY,<b>Battlecry:</b> Give all minions and weapons in your hand +2 Attack.,generated_supported
warrior_minion,END_022,Time-Twisted Seer,"MAGE,WARRIOR",TIME_TRAVEL,MINION,1,1,3,DRAGON,,Has <b>Spell Damage +2</b> while damaged.,generated_supported
warrior_minion,FIR_928,Keeper of Flame,WARRIOR,EMERALD_DREAM,MINION,5,5,5,,BATTLECRY,[x]<b>Battlecry:</b> Give all minions in your hand +3/+3. They are destroyed in 3 turns.,generated_supported
warrior_minion,FIR_956,Dragon Turtle,WARRIOR,EMERALD_DREAM,MINION,4,3,6,"BEAST,DRAGON",BATTLECRY,"[x]<b>Battlecry:</b> If you're holding a minion with a <b>Dark Gift</b>, give your hero +3 Attack this turn and 6 Armor.",generated_supported
warrior_minion,JAIL_029,Rioter,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,3,1,6,,TRIGGER_VISUAL,"After a friendly minion survives damage, give it +1 Attack.",generated_supported
warrior_minion,JAIL_311,Scrappy Defender,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,4,2,7,,TAUNT,[x]<b>Taunt</b> Has +5 Attack if your deck has 25 or more cards.,generated_supported
warrior_minion,JAIL_384,Chainbreaker Hogger,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,8,10,10,,"START_OF_GAME_KEYWORD,TAUNT",[x]<b>Taunt</b> <b>Start of Game:</b> Duplicate all other <b>Legendary</b> cards in your deck.,direct_supported
warrior_minion,JAIL_421,Warptooth,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,4,3,3,BEAST,CHARGE,"[x]<b>Charge</b>. If four friendly characters take damage on one of your turns, summon   this from hand or deck.",direct_supported
warrior_minion,JAIL_435,Rampaging Hound,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,7,4,12,"BEAST,ELEMENTAL",BATTLECRY,[x]<b>Prepare</b> <b>Battlecry:</b> Force all enemy minions to attack this.,generated_supported
warrior_minion,JAIL_455,Disguised Watchman,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,2,2,4,,BATTLECRY,"Can be played on either side. <b>Battlecry:</b> Deal 1 damage to all other friendly minions, twice.",generated_supported
warrior_minion,TIME_034,Stadium Announcer,WARRIOR,TIME_TRAVEL,MINION,4,3,3,DRAGON,BATTLECRY,[x]<b>Rewind</b> <b>Battlecry:</b> Both players equip a random weapon. Give yours +1/+1.,direct_supported
warrior_minion,TIME_714,Chrono-Lord Epoch,WARRIOR,TIME_TRAVEL,MINION,6,7,5,DRAGON,BATTLECRY,<b>Battlecry:</b> Destroy all minions that your opponent played last turn.,generated_supported
warrior_minion,TIME_871,Heir of Hereafter,WARRIOR,TIME_TRAVEL,MINION,5,2,6,DRAGON,"BATTLECRY,TAUNT",[x]<b>Taunt</b> <b>Battlecry:</b> Gain +2/+2 for each damaged minion.,generated_supported
warrior_minion,TIME_872,Undefeated Champion,WARRIOR,TIME_TRAVEL,MINION,8,13,13,,"BATTLECRY,RUSH",[x]<b>Rush</b>. <b>Battlecry:</b> Fill your opponent's board with   random 1-Cost minions.,needs_rule
warrior_minion,TLC_600,Windpeak Wyrm,WARRIOR,THE_LOST_CITY,MINION,8,6,6,DRAGON,BATTLECRY,[x]<b>Battlecry:</b> Deal 5 damage and gain 5 Armor. <b>Kindred:</b> Costs (3) less.,direct_supported
warrior_minion,TLC_606,Latorvian Armorer,WARRIOR,THE_LOST_CITY,MINION,3,3,3,,BATTLECRY,"<b>Battlecry:</b> Deal 2 damage to an enemy minion. If it dies, gain 5 Armor.",generated_supported
warrior_minion,TLC_623,Stonecarver,WARRIOR,THE_LOST_CITY,MINION,2,1,4,,TRIGGER_VISUAL,"At the end of your turn, give another friendly damaged minion +2/+2.",generated_supported
warrior_minion,TLC_624,"Nablya, the Watcher",WARRIOR,THE_LOST_CITY,MINION,6,5,7,,BATTLECRY,[x]<b>Battlecry:</b> Summon copies  of your damaged minions. Give the copies <b>Rush</b>.,generated_supported
pirate,CAP_104,Blastpowder Engineer,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,2,2,3,PIRATE,AURA,"[x]On your turn, friendly Pirates deal 1 more damage.",generated_supported
pirate,CAP_106,Captain Crowley,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,5,4,5,PIRATE,"AURA,BATTLECRY",[x]Your Cannoneers fire an additional shot. <b>Battlecry</b>: Summon  two 1/1 Cannoneers.,generated_supported
pirate,CAP_107,Cannonmaster,WARRIOR,ESCAPEFROM_VIOLET_HOLD,MINION,1,3,1,"DRAENEI,PIRATE",BATTLECRY,[x]<b>Battlecry:</b> Get a 1/1 Cannoneer that deals 1 damage to a random enemy at end of turn.,direct_supported
pirate,CORE_DRG_024,Sky Raider,WARRIOR,CORE,MINION,1,1,2,PIRATE,BATTLECRY,<b>Battlecry:</b> Add a random Pirate to your hand.,generated_supported
pirate,CORE_NEW1_018,Bloodsail Raider,NEUTRAL,CORE,MINION,2,2,3,PIRATE,BATTLECRY,<b>Battlecry:</b> Gain Attack equal to the Attack of your weapon.,generated_supported
pirate,CORE_NEW1_022,Dread Corsair,NEUTRAL,CORE,MINION,4,3,3,PIRATE,TAUNT,<b>Taunt</b> Costs (1) less per Attack of your weapon.,generated_supported
pirate,CORE_NEW1_027,Southsea Captain,NEUTRAL,CORE,MINION,3,3,3,PIRATE,AURA,Your other Pirates have +1/+1.,generated_supported
pirate,CORE_NX2_028,Hookfist-3000,WARRIOR,CORE,MINION,3,4,3,"MECHANICAL,PIRATE",TRIGGER_VISUAL,"After your hero attacks, gain 4 Armor and draw a card.",generated_supported
pirate,CORE_WON_351,Small-Time Buccaneer,NEUTRAL,CORE,MINION,1,1,2,PIRATE,,Has +2 Attack while you have a weapon equipped.,generated_supported
pirate,CS3_022,Fogsail Freebooter,NEUTRAL,CORE,MINION,2,2,2,PIRATE,BATTLECRY,"<b>Battlecry:</b> If you have a weapon equipped, deal 2 damage.",generated_supported
pirate,TIME_054,Time Skipper,NEUTRAL,TIME_TRAVEL,MINION,4,3,4,PIRATE,TRIGGER_VISUAL,"At the end of each player's turn, give them a Coin.",generated_supported
weapon,CAP_103,Hand Cannon,WARRIOR,ESCAPEFROM_VIOLET_HOLD,WEAPON,3,3,2,,TRIGGER_VISUAL,"[x]After your hero attacks, your Cannoneers FIRE!",generated_supported
weapon,CATA_467,Command Claw,DEATHKNIGHT,CATACLYSM,WEAPON,2,2,2,,TRIGGER_VISUAL,"[x]After your hero attacks, give a random friendly minion +2 Attack.",generated_supported
weapon,CATA_472,Inspiring Maul,PALADIN,CATACLYSM,WEAPON,2,2,2,,DEATHRATTLE,<b>Deathrattle:</b> Trigger a random friendly minion's end of turn effect.,generated_supported
weapon,CATA_580,Cataclysmic War Axe,WARRIOR,CATACLYSM,WEAPON,3,3,2,,BATTLECRY,<b>Battlecry:</b> <b>Herald</b> {0}.,generated_supported
weapon,CORE_BT_781,Bulwark of Azzinoth,WARRIOR,CORE,WEAPON,3,1,4,,TRIGGER_VISUAL,"[x]Whenever your hero would take damage, this loses  1 Durability instead.",generated_supported
weapon,CORE_BT_921,Aldrachi Warblades,DEMONHUNTER,CORE,WEAPON,3,2,2,,LIFESTEAL,<b>Lifesteal</b>,generated_supported
weapon,CORE_DAL_720,Waggle Pick,ROGUE,CORE,WEAPON,4,4,2,,DEATHRATTLE,[x]<b>Deathrattle:</b> Return a random friendly minion to your hand. It costs (2) less.,generated_supported
weapon,CORE_GVG_059,Coghammer,PALADIN,CORE,WEAPON,3,2,3,,BATTLECRY,<b>Battlecry:</b> Give a random friendly minion <b>Divine Shield</b> and <b>Taunt</b>.,generated_supported
weapon,CORE_LOOT_044,Bladed Gauntlet,WARRIOR,CORE,WEAPON,2,0,2,,,Has Attack equal to your Armor. Can't attack heroes.,generated_supported
weapon,CORE_OG_031,Hammer of Twilight,SHAMAN,CORE,WEAPON,5,4,2,,DEATHRATTLE,<b>Deathrattle:</b> Summon a 4/2 Elemental.,generated_supported
weapon,CORE_RLK_086,Frostmourne,DEATHKNIGHT,CORE,WEAPON,6,4,3,,DEATHRATTLE,<b>Deathrattle:</b> Summon every minion killed by this weapon.,generated_supported
weapon,CORE_TRL_111,Headhunter's Hatchet,HUNTER,CORE,WEAPON,2,2,2,,BATTLECRY,"[x]<b>Battlecry:</b> If you control a Beast, gain +1 Durability.",generated_supported
weapon,DINO_408,Crystal Tusk,ROGUE,THE_LOST_CITY,WEAPON,2,2,2,,"BATTLECRY,DEATHRATTLE",[x]<b>Battlecry:</b> Shuffle the left- most card in your hand into your deck. <b>Deathrattle:</b> Draw 2 cards.,generated_supported
weapon,EDR_253,Ursine Maul,PALADIN,EMERALD_DREAM,WEAPON,4,4,2,,TRIGGER_VISUAL,"After your hero attacks, draw a card.",generated_supported
weapon,EDR_416,Shepherd's Crook,HUNTER,EMERALD_DREAM,WEAPON,3,3,2,,TRIGGER_VISUAL,"After your hero attacks, summon a 3/3 Sheep that's <b>Dormant</b> for 2 turns.",generated_supported
weapon,EDR_525,Barbed Thorn,ROGUE,EMERALD_DREAM,WEAPON,3,1,3,,CHOOSE_ONE,"[x]<b>Choose One -</b> Gain <b>Poisonous</b> this turn; or Gain ""<b>Deathrattle:</b> Deal 2 damage to all enemies.""",generated_supported
weapon,EDR_812,Grotesque Runeblade,DEATHKNIGHT,EMERALD_DREAM,WEAPON,2,2,2,,BATTLECRY,"[x]<b>Battlecry:</b> If the last card you played had an Unholy rune, gain +1 Attack. Repeat for     Blood and +1 Durability.",generated_supported
weapon,EDR_842,Defiled Spear,DEMONHUNTER,EMERALD_DREAM,WEAPON,4,2,3,,TRIGGER_VISUAL,"[x]After your hero attacks an  enemy, deal your hero's Attack damage to another random enemy.",generated_supported
weapon,END_001,Jagged Edge of Time,"DEATHKNIGHT,ROGUE",TIME_TRAVEL,WEAPON,3,3,2,,BATTLECRY,<b>Battlecry:</b> <b>Imbue</b> your Hero Power.,generated_supported
weapon,END_012,Hand of Infinity,PALADIN,TIME_TRAVEL,WEAPON,3,4,2,,BATTLECRY,[x]Can't attack heroes. <b>Battlecry:</b> Set this weapon's Attack to INFINITY this turn!,generated_supported
weapon,END_016,Chronoclaws,"HUNTER,WARLOCK",TIME_TRAVEL,WEAPON,4,4,3,,TRIGGER_VISUAL,"After your hero attacks, discard your highest Cost card.",generated_supported
weapon,FIR_922,Cindersword,ROGUE,EMERALD_DREAM,WEAPON,1,1,2,,BATTLECRY,"<b>Battlecry:</b> If you're holding a minion with a <b>Dark Gift</b>, gain +3 Attack.",generated_supported
weapon,JAIL_329,Truth Seeker,PALADIN,ESCAPEFROM_VIOLET_HOLD,WEAPON,7,3,3,,TRIGGER_VISUAL,"After your hero attacks, give your Paladin minions +2/+2.",generated_supported
weapon,JAIL_376,Ball and Chain,WARRIOR,ESCAPEFROM_VIOLET_HOLD,WEAPON,1,1,2,,DEATHRATTLE,<b>Deathrattle:</b> Give your damaged minions +1/+2.,generated_supported
weapon,JAIL_380,Smuggled Shovel,HUNTER,ESCAPEFROM_VIOLET_HOLD,WEAPON,1,1,2,,DEATHRATTLE,<b>Deathrattle:</b> Draw a spell that didn't start in your deck.,generated_supported
weapon,JAIL_450,Corpse Cannon,DEATHKNIGHT,ESCAPEFROM_VIOLET_HOLD,WEAPON,2,1,3,,TRIGGER_VISUAL,"After your hero attacks, summon a 1/1 Frail Ghoul.",generated_supported
weapon,JAIL_458,Tiny Pal,SHAMAN,ESCAPEFROM_VIOLET_HOLD,WEAPON,4,2,3,,"BATTLECRY,TRIGGER_VISUAL","[x]<b>Battlecry:</b> Choose your elemental ammunition! <i>(After your hero attacks, choose another).</i>",needs_rule
weapon,JAIL_503,Blackpaw's Whip,ROGUE,ESCAPEFROM_VIOLET_HOLD,WEAPON,3,3,2,,DEATHRATTLE,Costs (1) less for each Coin you're holding.  <b>Deathrattle:</b> Draw a card.,generated_supported
weapon,JAIL_730,Stardust Scythe,DEMONHUNTER,ESCAPEFROM_VIOLET_HOLD,WEAPON,4,3,3,,TRIGGER_VISUAL,"After your hero attacks, get a Void Soul.",generated_supported
